,team_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,next_date
0,9930,2010-02-22,60,Balanced,,Little,50,Mixed,Organised,60,Normal,65,Normal,55,Normal,Organised,50,Medium,55,Press,45,Normal,Cover,2014-09-19
1,9930,2014-09-19,52,Balanced,48.0,Normal,56,Mixed,Organised,54,Normal,63,Normal,64,Normal,Organised,47,Medium,44,Press,54,Normal,Cover,2015-09-10
2,9930,2015-09-10,47,Balanced,41.0,Normal,54,Mixed,Organised,54,Normal,63,Normal,64,Normal,Organised,47,Medium,44,Press,54,Normal,Cover,
3,8485,2010-02-22,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover,2011-02-22
4,8485,2011-02-22,47,Balanced,,Little,52,Mixed,Organised,53,Normal,48,Normal,52,Normal,Organised,47,Medium,47,Press,52,Normal,Cover,2012-02-22
5,8485,2012-02-22,58,Balanced,,Little,62,Mixed,Organised,45,Normal,70,Lots,55,Normal,Organised,40,Medium,40,Press,60,Normal,Cover,2013-09-20
6,8485,2013-09-20,62,Balanced,,Little,45,Mixed,Organised,40,Normal,50,Normal,55,Normal,Organised,42,Medium,42,Press,60,Normal,Cover,2014-09-19
7,8485,2014-09-19,58,Balanced,64.0,Normal,62,Mixed,Organised,56,Normal,68,Lots,57,Normal,Organised,41,Medium,42,Press,60,Normal,Cover,2015-09-10
8,8485,2015-09-10,59,Balanced,64.0,Normal,53,Mixed,Organised,51,Normal,72,Lots,63,Normal,Free Form,49,Medium,45,Press,63,Normal,Cover,
9,8576,2010-02-22,60,Balanced,,Little,40,Mixed,Organised,45,Normal,35,Normal,55,Normal,Organised,30,Deep,70,Double,30,Narrow,Offside Trap,2011-02-22
10,8576,2011-02-22,65,Balanced,,Little,45,Mixed,Organised,65,Normal,65,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2012-02-22
11,8576,2012-02-22,59,Balanced,,Little,52,Mixed,Organised,48,Normal,34,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,2013-09-20
12,8576,2013-09-20,59,Balanced,,Little,52,Mixed,Organised,48,Normal,34,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,2014-09-19
13,8576,2014-09-19,59,Balanced,57.0,Normal,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,2015-09-10
14,8576,2015-09-10,59,Balanced,57.0,Normal,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,
15,8564,2010-02-22,45,Balanced,,Little,30,Short,Free Form,55,Normal,45,Normal,70,Lots,Free Form,30,Deep,35,Press,60,Normal,Offside Trap,2011-02-22
16,8564,2011-02-22,65,Balanced,,Little,50,Mixed,Organised,50,Normal,60,Normal,50,Normal,Free Form,50,Medium,50,Press,50,Normal,Offside Trap,2012-02-22
17,8564,2012-02-22,45,Balanced,,Little,50,Mixed,Organised,65,Normal,20,Little,50,Normal,Free Form,45,Medium,45,Press,50,Normal,Cover,2013-09-20
18,8564,2013-09-20,48,Balanced,,Little,54,Mixed,Organised,51,Normal,53,Normal,64,Normal,Free Form,48,Medium,49,Press,53,Normal,Cover,2014-09-19
19,8564,2014-09-19,48,Balanced,70.0,Lots,52,Mixed,Organised,66,Normal,36,Normal,75,Lots,Organised,58,Medium,57,Press,49,Normal,Cover,2015-09-10
20,8564,2015-09-10,48,Balanced,70.0,Lots,52,Mixed,Organised,66,Normal,36,Normal,69,Lots,Organised,58,Medium,57,Press,49,Normal,Cover,
21,10215,2010-02-22,30,Slow,,Little,30,Short,Organised,50,Normal,60,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,2011-02-22
22,10215,2011-02-22,30,Slow,,Little,50,Mixed,Organised,50,Normal,50,Normal,55,Normal,Organised,30,Deep,45,Press,65,Normal,Cover,2012-02-22
23,10215,2012-02-22,45,Balanced,,Little,44,Mixed,Organised,55,Normal,57,Normal,60,Normal,Organised,52,Medium,38,Press,61,Normal,Cover,2013-09-20
24,10215,2013-09-20,45,Balanced,,Little,44,Mixed,Organised,55,Normal,57,Normal,60,Normal,Organised,52,Medium,38,Press,61,Normal,Cover,2014-09-19
25,10215,2014-09-19,52,Balanced,53.0,Normal,44,Mixed,Organised,55,Normal,51,Normal,60,Normal,Organised,39,Medium,38,Press,61,Normal,Cover,2015-09-10
26,10215,2015-09-10,53,Balanced,53.0,Normal,44,Mixed,Organised,55,Normal,51,Normal,60,Normal,Organised,39,Medium,38,Press,61,Normal,Cover,
27,10217,2010-02-22,30,Slow,,Little,35,Mixed,Organised,30,Safe,50,Normal,65,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,2011-02-22
